date,open,high,low,close,volume
2022-04-15,87.4,87.48,82.74,84.53,364026.81
2022-04-18,84.12,88.41,81.6,87.84,284144.0
2022-04-19,87.5,91.56,87.41,90.1,314015.84
2022-04-20,72.78,77.49,72.08,72.08,686559.12
2022-04-21,69.1,69.96,63.9,64.48,804247.19
2022-04-22,64.78,66.29,63.9,65.15,464721.59
2022-04-25,62.6,63.44,58.9,58.9,476470.88
2022-04-26,59.5,60.3,57.08,57.6,401681.84
2022-04-27,56.68,62.46,56.01,61.81,538710.06
2022-04-28,61.92,63.08,59.68,60.96,411719.41
2022-04-29,62.44,64.5,59.75,63.2,472956.53
2022-05-05,63.0,65.27,62.33,63.62,379487.88
2022-05-06,62.14,64.15,61.57,62.36,207903.12
2022-05-09,62.43,65.82,62.43,63.81,220827.16
2022-05-10,62.37,69.7,62.18,67.36,413315.59
2022-05-11,67.7,74.47,67.37,71.9,585354.56
2022-05-12,71.0,73.5,70.8,71.84,255514.55
2022-05-13,72.98,72.99,70.21,71.5,238324.69
2022-05-16,73.77,76.15,72.83,73.0,284848.62
2022-05-17,72.8,75.5,72.39,74.74,271949.09
2022-05-18,75.8,78.11,73.69,77.01,300282.41
2022-05-19,76.09,82.71,75.53,82.32,413209.0
2022-05-20,83.0,86.27,81.5,85.19,321180.69
2022-05-23,85.01,85.56,79.68,82.35,360423.38
2022-05-24,81.98,82.68,77.21,77.61,373063.97
2022-05-25,78.01,79.59,76.7,79.19,265790.91
2022-05-26,79.2,80.58,77.4,78.5,206450.42
2022-05-27,79.02,80.22,77.2,77.74,194204.19
2022-05-30,78.32,78.68,75.1,76.32,346675.19
2022-05-31,78.61,80.6,75.9,79.96,406670.47
2022-06-01,79.55,82.2,78.15,80.8,284082.75
2022-06-02,79.65,85.0,79.65,85.0,335995.91
2022-06-06,85.65,92.51,85.61,92.1,563047.75
2022-06-07,94.22,99.0,93.88,95.09,490548.0
2022-06-08,94.78,95.66,91.47,92.9,361853.59
2022-06-09,92.9,94.75,90.7,91.76,236723.73
2022-06-10,90.0,93.49,88.98,93.05,330435.12
2022-06-13,91.33,91.35,88.48,89.89,339533.03
2022-06-14,88.58,88.62,84.4,88.03,375206.47
2022-06-15,87.94,89.53,84.78,86.72,401931.91
2022-06-16,86.84,91.38,86.84,90.11,361970.75
2022-06-17,88.5,91.5,88.18,90.47,308267.59
2022-06-20,91.61,94.8,89.21,93.19,526956.38
2022-06-21,93.0,93.06,87.2,87.87,526476.75
2022-06-22,87.01,95.57,87.01,93.57,691372.56
2022-06-23,93.61,93.85,89.2,92.35,445101.59
2022-06-24,93.1,97.02,92.7,95.41,490364.69
2022-06-27,96.97,98.25,94.32,94.38,407028.12
2022-06-28,95.16,98.3,92.84,97.07,398937.91
2022-06-29,96.16,99.68,91.79,92.1,424978.47
2022-06-30,92.98,100.68,91.49,98.25,426123.0
2022-07-01,98.5,99.6,95.11,95.94,279510.09
2022-07-04,94.4,94.5,90.3,93.34,442363.09
2022-07-05,92.35,93.0,85.9,87.93,659133.12
2022-07-06,89.0,94.87,89.0,92.45,587570.81
2022-07-07,94.0,110.94,92.37,110.94,947971.5
2022-07-08,112.86,114.0,103.0,104.5,714034.19
2022-07-11,106.2,112.49,103.2,112.15,668364.56
2022-07-12,110.68,118.77,109.01,115.9,585988.88
2022-07-13,117.05,122.1,111.11,115.5,550529.88
2022-07-14,115.8,131.18,115.8,126.0,577156.81
2022-07-15,125.0,129.14,122.22,125.15,409381.03
2022-07-18,127.5,132.91,125.68,126.56,496941.75
2022-07-19,126.17,127.02,120.1,120.58,415404.91
2022-07-20,120.0,124.0,117.55,120.7,301189.09
2022-07-21,119.31,122.5,116.53,116.57,316431.88
2022-07-22,116.6,118.0,112.6,114.23,336146.16
2022-07-25,115.25,115.75,109.88,110.89,249618.16
2022-07-26,111.33,113.33,108.54,110.7,328838.97
2022-07-27,111.06,120.6,111.06,119.75,504625.84
2022-07-28,124.0,128.38,120.8,124.7,435092.72
2022-07-29,126.3,131.08,123.8,123.86,358264.62
2022-08-01,122.53,130.0,121.13,128.04,308094.69
2022-08-02,124.04,132.45,123.0,129.9,358251.41
2022-08-03,130.0,130.55,119.18,120.2,398284.0
2022-08-04,119.43,121.25,115.18,118.08,308872.25
2022-08-05,117.79,118.87,113.37,115.4,281628.75
2022-08-08,114.64,119.68,111.02,118.58,290349.88
2022-08-09,117.11,132.56,116.18,128.15,508337.0
2022-08-10,130.18,131.62,125.37,128.8,318715.25
2022-08-11,130.0,131.0,122.46,126.2,262202.97
2022-08-12,125.06,127.0,122.02,123.38,189926.16
2022-08-15,122.01,132.8,122.01,130.98,345182.16
2022-08-16,131.0,137.13,130.43,131.5,369806.16
2022-08-17,132.71,138.71,132.71,135.0,294938.97
2022-08-18,134.72,142.0,134.09,140.04,347912.38
2022-08-19,139.8,143.31,133.44,138.37,402773.28
2022-08-22,136.02,141.68,135.01,139.9,266800.84
2022-08-23,139.0,149.0,138.02,144.7,287913.69
2022-08-24,145.8,146.8,135.42,136.58,317435.03
2022-08-25,138.0,139.39,130.14,132.35,341864.31
2022-08-26,134.4,138.0,131.22,131.65,267029.53
2022-08-29,122.0,137.3,120.1,132.15,337209.91
2022-08-30,132.81,134.01,127.13,127.28,276942.22
2022-08-31,128.09,128.6,111.11,111.4,628484.75
2022-09-01,112.07,114.43,110.11,111.8,277850.97
2022-09-02,113.0,113.08,104.55,108.66,345173.09
2022-09-05,108.17,118.1,107.1,116.97,361787.38
2022-09-06,117.18,123.58,115.09,122.59,362889.56
2022-09-07,121.98,126.6,121.1,122.16,274861.53
2022-09-08,124.0,126.8,121.16,121.39,201882.36
2022-09-09,121.5,122.1,117.9,120.2,176090.23
2022-09-13,122.6,123.0,117.27,118.36,160245.5
2022-09-14,116.38,121.36,115.69,117.58,196032.41
2022-09-15,117.63,119.0,105.98,107.6,407821.31
2022-09-16,107.2,113.93,107.2,110.09,284901.53
2022-09-19,109.03,113.33,108.05,109.42,198667.41
2022-09-20,111.7,118.3,111.2,114.15,306910.62
2022-09-21,113.01,116.3,111.5,112.8,192753.12
2022-09-22,111.3,116.86,109.51,114.15,213575.86
2022-09-23,116.3,117.0,109.5,112.95,235905.52
2022-09-26,112.99,122.19,112.0,120.02,340088.31
2022-09-27,120.6,121.35,116.6,119.0,217030.91
2022-09-28,120.0,121.0,112.38,113.27,249468.05
2022-09-29,114.83,115.1,109.5,113.5,177115.58
2022-09-30,111.5,114.77,108.0,110.62,219571.58
2022-10-10,111.0,115.88,110.36,112.43,212127.42
2022-10-11,112.45,118.69,111.4,116.6,232112.0
2022-10-12,116.65,126.0,113.9,126.0,313941.0
2022-10-13,125.0,132.27,124.0,127.9,284167.38
2022-10-14,130.35,135.1,124.8,131.98,302988.0
2022-10-17,130.0,131.0,125.8,129.08,204278.69
2022-10-18,129.15,138.87,127.5,134.77,274549.97
2022-10-19,134.0,138.98,131.88,132.3,232159.52
2022-10-20,131.01,131.77,126.3,128.0,208637.41
2022-10-21,126.64,133.76,126.35,131.99,220632.05
2022-10-24,129.59,130.66,125.58,126.0,199369.73
2022-10-25,126.3,133.3,125.02,129.66,210014.66
2022-10-26,130.7,135.0,127.4,132.7,221821.41
2022-10-27,142.0,144.0,132.2,133.02,375738.31
2022-10-28,131.1,135.39,128.8,129.13,216640.48
2022-10-31,127.0,133.0,126.79,130.92,185706.31
2022-11-01,132.0,135.5,130.96,134.99,242797.59
2022-11-02,133.0,135.38,131.46,133.08,217023.08
2022-11-03,131.77,137.88,131.6,135.5,205914.02
2022-11-04,134.71,140.41,134.04,139.4,265496.25
2022-11-07,138.0,139.95,133.21,134.06,251119.41
2022-11-08,133.23,134.05,124.63,128.9,349563.31
2022-11-09,127.1,127.99,125.34,126.02,158631.89
2022-11-10,124.08,126.98,121.0,122.1,184875.84
2022-11-11,127.0,127.5,121.96,123.57,210094.48
2022-11-14,122.1,122.9,113.99,115.96,337886.16
2022-11-15,115.5,119.0,115.5,118.99,301759.97
2022-11-16,118.0,119.18,114.92,115.9,192507.48
2022-11-17,115.15,117.73,113.0,115.05,190174.05
2022-11-18,115.5,117.99,111.5,114.89,237152.36
2022-11-21,115.0,117.2,114.0,114.8,180543.5
2022-11-22,114.7,114.8,110.29,110.88,244748.44
2022-11-23,111.2,118.68,110.02,117.81,303945.38
2022-11-24,116.81,121.09,116.21,119.03,235537.59
2022-11-25,116.22,117.71,113.8,113.89,185536.12
2022-11-28,111.0,117.77,110.88,116.91,175100.23
2022-11-29,116.0,116.75,113.51,114.66,157750.48
2022-11-30,114.0,116.33,113.32,115.0,148943.05
2022-12-01,116.09,117.9,114.2,115.91,199386.52
2022-12-02,116.57,122.0,115.33,120.09,294504.34
2022-12-05,114.88,115.0,106.66,108.58,554188.38
2022-12-06,108.47,108.55,101.7,105.41,438455.62
2022-12-07,104.1,107.57,104.1,106.13,263981.69
2022-12-08,105.95,110.8,105.22,107.22,278920.12
2022-12-09,107.28,107.98,104.6,106.8,227746.66
2022-12-12,105.82,107.2,104.58,104.92,166924.95
2022-12-13,105.0,105.9,100.61,100.71,282137.41
2022-12-14,100.99,101.8,97.16,98.41,344011.44
2022-12-15,98.64,100.49,97.71,100.33,190604.55
2022-12-16,99.78,100.25,97.35,98.0,157619.75
2022-12-19,98.03,100.6,96.56,97.31,175791.7
2022-12-20,96.81,99.5,95.88,97.15,199018.31
2022-12-21,97.05,97.38,94.9,95.48,147068.42
2022-12-22,96.39,96.57,94.19,94.19,139695.75
2022-12-23,94.17,94.8,90.66,91.56,176724.8
2022-12-26,92.57,101.51,91.91,101.48,396240.75
2022-12-27,101.49,107.6,101.0,107.36,417780.03
2022-12-28,106.07,110.3,105.7,109.11,339842.16
2022-12-29,108.99,110.91,107.94,108.75,181104.19
2022-12-30,109.8,114.0,108.22,111.8,271254.19
